data3
255,985405
243,1658595
170,4975411
267,3923688
659,068222
370,8304817
404,872887
563,2430604
500,679569
128,777641
474,2490398
394,9436827
406,7846355
513,4095743
678,571021
972,2943437
401,2479063
496,699175
985,7640201
164,1336727
492,4675211
137,7100945
547,0300186
474,4265387
777,3331889
571,7118035
425,0524617
288,1047769
674,0685751
490,0653862
184,2589663
171,981981
683,8235238
610,2852152
419,705889
444,6259672
227,1154934
880,1880143
322,6151398
155,182533
249,084226
43,81204584
189,7541926
328,6352894
209,4486146
220,7856228
540,4931622
345,7887955
485,8791526
314,1353036
173,1678561
393,8646019
621,1465837
570,4979379
392,407618
528,1261606
448,0575038
603,5081464
337,4231637
318,5176553
203,9633839
459,7099524
334,6209531
414,8750829
170,5760919
659,4797929
748,34808
487,6801616
517,692694
382,5239863
193,4615116
186,6117739
600,618365
496,0562316
358,8891874
569,2655402
592,1673112
270,0278536
309,4016658
552,0301291
429,8727801
598,35009
371,4859808
562,69191
370,4283668
153,474766
59,57706522
203,690024
275,7122979
870,9315589
372,6486322
643,8659389
320,268922
438,3423852
630,1285622
441,4328235
528,7358027
555,4026591
245,9486921
683,5254007
384,9899679
298,6142808
759,3950798
574,2584165
161,6848822
504,2639855
734,2054945
814,0432633
257,6499986
224,9308094
281,6242441
340,6525174
448,2239359
261,4693859
165,0940956
201,9985369
211,4372789
229,2982228
554,7756119
555,938031
352,7288627
74,45383235
510,7855731
303,5474972
351,9888641
211,3767045
97,78990618
124,2792206
488,5472679
257,8009139
364,7927877
268,4519401
592,9819504
462,4030853
442,8621232
140,1770451
357,6298032
815,2647147
208,876608
453,5998494
374,3792683
688,5730644
679,9850045
436,114349
147,9952124
708,2915047
227,0217557
287,4806257
1114,286699
210,8306814
631,620773
444,4443297
378,4004179
1054,269804
261,4527982
481,9240313
460,7370751
494,6424084
114,384448
537,2185221
478,2276879
265,9040532
676,4700084
242,6024422
396,5571841
341,3780548
391,8770002
650,4061629
244,6744346
495,2825896
523,2129848
866,0527869
41,1662021
252,2384523
229,3910502
499,417298
225,592197
404,6881442
111,3669405
386,9788046
394,7155983
592,9547485
98,48759458
439,2070323
519,3989702
278,1052982
281,1344253
361,6466297
496,2452017
318,1581067
493,3282754
421,3299868
316,823805
174,7497021
876,4125913
565,3390194
512,7315172
302,7403115
526,3676802
261,9003931
489,4536213
310,3986161
397,7769434
625,9372176
571,6124834
471,4909001
523,0685344
177,1382357
52,20455985
796,3881487
229,0938738
410,8410239
398,0211085
579,4089904
509,5805716
543,8304219
341,4668892
354,0018192
255,2935584
487,7538726
504,6130302
137,8507682
346,6766371
325,3896454
291,1840297
326,2984646
279,2177277
426,21378
84,33714586
676,0608081
123,4989999
222,3995161
1116,135028
476,2419015
373,9165816
416,1418877
181,2158502
402,2445947
605,053521
255,4962019
458,6853886
366,0405073
256,3223617
536,0276473
302,7860244
391,7254506
772,2453164
214,4623103
441,646124
327,1025713
471,1915496
796,7221016
230,2433614
418,8247311
302,1610387
169,2341974
828,3650585
643,4167791
377,3080283
454,6458727
362,091613
358,2668513
611,6723106
524,9313052
280,5649769
504,3221327
516,5808101
674,9604238
484,6532155
732,1187356
357,6001755
392,3924533
698,0921022
368,731539
864,3311266
862,4998565
451,012554
145,7477402
388,9865501
621,1465837
319,4160535
284,7570277
271,7913839
349,8727343
110,2521726
297,6173084
227,0967489
512,4129577
546,9624935
538,3274612
373,5584684
426,7236146
311,6357433
819,0861076
216,7555196
68,89636191
363,486366
565,290636
434,5266301
289,5531925
445,2705288
561,0695296
174,3432636
344,0129403
512,0152293
532,8912734
347,5496498
455,9824323
391,1346403
383,9367561
505,5651793
771,1047961
438,5543271
458,7194999
701,1613557
478,8740598
451,1298263
446,0153745
349,2512626
247,5639473
752,6654134
349,384434
284,6471595
422,9110805
402,8125159
331,2365533
511,6577194
217,2267803
342,8732554
401,2938793
387,0843776
459,4364865
358,2224027
523,336857
176,2129152
360,1638381
543,3193944
332,1870546
448,6402857
432,1381602
379,8533561
377,5024986
460,7199353
445,105171
209,8561408
205,9693626
476,9026325
657,0973865
455,2882503
393,3786811
168,4914711
446,3633831
505,1761974
409,3054738
186,0035846
283,3583617
242,9899145
275,7762784
640,8790607
293,675826
729,8913064
548,8598111
115,2120313
319,5657219
162,9432986
256,743074
314,421
200,2263011
497,7798975
483,2132098
622,3262174
293,8611366
370,145452
418,290367
785,7514321
790,7377023
552,834579
625,4626566
478,2635672
563,027247
242,7081703
608,7608591
785,2847176
750,0240368
199,4519676
161,1213148
302,008523
729,1736332
933,3245554
119,3970547
472,7083497
455,491308
532,2938285
505,9546459
16,74648058
357,3483491
703,5697512
393,2724208
329,1112089
148,7548068
131,2263615
259,4899241
427,1860584
544,8777667
